Battle,win,allies_wr,enemies_wr
1,0,0.476315927,0.497945993
2,0,0.501067677,0.524388741
3,0,0.513342069,0.535554715
4,0,0.486381018,0.534069494
5,0,0.488628231,0.525110503
6,0,0.503671502,0.504207441
7,1,0.494282169,0.497938119
8,1,0.556670489,0.559899973
9,0,0.494731455,0.519068815
10,0,0.487414127,0.527236957
11,1,0.483072603,0.516740679
12,0,0.513192912,0.529310357
13,1,0.481627665,0.520927697
14,0,0.482085604,0.492086776
15,0,0.514601259,0.555920354
16,1,0.506468079,0.536509869
17,0,0.505053017,0.512088081
18,1,0.501970149,0.54279822
19,0,0.492433208,0.495791931
20,0,0.499947155,0.539403109
21,1,0.468165786,0.486790601
22,1,0.494110695,0.535866649
23,1,0.494648776,0.535048884
24,0,0.499038517,0.511282043
25,0,0.493597149,0.510384148
26,1,0.488578144,0.528014838
27,0,0.478860034,0.522412607
28,1,0.508698242,0.5097493
29,0,0.508292352,0.519136101
30,0,0.530298775,0.532574729
31,0,0.508376214,0.537619948
32,0,0.48132625,0.50276003
33,0,0.470386296,0.524333207
34,1,0.497004718,0.516254898
35,1,0.511087299,0.525210712
36,0,0.495704781,0.517546595
37,0,0.47194759,0.494631436
38,0,0.502155064,0.505404626
39,1,0.541059093,0.553184964
40,0,0.488169229,0.491445061
41,0,0.510205494,0.514236175
42,1,0.531059967,0.536124384
43,1,0.505546115,0.523958332
44,0,0.527978349,0.521974269
45,0,0.511247975,0.511748308
46,0,0.519853157,0.5371365
47,0,0.517881777,0.531761576
48,1,0.520948814,0.520393056
49,0,0.492705401,0.506957964
50,1,0.491524743,0.497726617
51,1,0.500096174,0.511809685
52,0,0.511454379,0.531825172
53,0,0.479828171,0.521030147
54,0,0.491084893,0.498919927
55,0,0.498039223,0.535413253
56,0,0.474473254,0.520035436
57,0,0.487208562,0.506203368
58,1,0.481267916,0.486485868
59,1,0.491801726,0.530008818
60,1,0.514859217,0.561513099
61,1,0.485214422,0.488662578
62,0,0.512972027,0.520380261
63,1,0.491014962,0.493718837
64,1,0.477694867,0.515498775
65,0,0.494700243,0.497399664
66,1,0.520949158,0.534984579
67,0,0.500851925,0.507967295
68,1,0.533534864,0.531472116
69,1,0.502138688,0.50637876
70,1,0.538486757,0.54169771
71,1,0.498903181,0.501956254
72,0,0.461774572,0.516407605
73,0,0.482810385,0.495471607
74,0,0.491986959,0.497976298
75,0,0.501838511,0.505466048
76,0,0.506854893,0.525060845
77,1,0.470593718,0.495151601
78,0,0.506876389,0.506356295
79,1,0.491151909,0.500562536
80,1,0.48912829,0.525509204
81,1,0.498722917,0.511533175
82,0,0.535465548,0.563470584
83,1,0.5069022,0.55510385
84,1,0.489202955,0.523816312
85,0,0.563596813,0.582253106
86,1,0.497035507,0.520217016
87,0,0.474058648,0.509132629
88,0,0.539829068,0.541151492
89,0,0.518149872,0.520206433
90,0,0.508021605,0.524580917
91,1,0.469046544,0.523727207
92,0,0.484798743,0.535510291
93,1,0.490259286,0.499756991
94,1,0.463209743,0.47914715
95,0,0.481895097,0.495384777
96,0,0.511057044,0.523836329
97,0,0.492686932,0.513177649
98,0,0.483214457,0.51036973
99,0,0.475265305,0.488495888
100,0,0.485037019,0.518913979
101,0,0.473920024,0.516417396
102,1,0.477138426,0.491229058
103,0,0.483960788,0.529070506
104,0,0.48941168,0.506242772
105,0,0.489141796,0.507447917
106,1,0.513830892,0.515339767
107,0,0.503848374,0.529493963
108,1,0.483946413,0.522894869
109,1,0.505107106,0.525661926
110,1,0.488002154,0.510882701
111,0,0.47603708,0.525444777
112,0,0.516166126,0.516410714
113,0,0.503444421,0.510538971
114,0,0.532092489,0.544693369
115,0,0.523408596,0.530487184
116,0,0.485851989,0.535453785
117,0,0.494970876,0.498487753
118,0,0.484771453,0.49752882
119,0,0.47610733,0.529510059
120,1,0.475854439,0.495058437
121,0,0.538275009,0.561770882
122,0,0.483610181,0.533796105
123,0,0.498030687,0.510264142
124,0,0.520968181,0.524328579
125,0,0.496501641,0.517860674
126,1,0.550786059,0.545857227
127,1,0.500509566,0.51841981
128,1,0.508756428,0.515792513
129,0,0.482854567,0.522503163
130,1,0.478381853,0.508030965
131,0,0.496614036,0.531641376
132,0,0.47960114,0.489551043
133,1,0.477306715,0.501126185
134,0,0.472940838,0.515644589
